GeneID,NumberOfLiterature,PubMedIDs,GeneSymbol,Alias,Xref,Chromosome,Cytoband,FullName,GeneType,Description
55824,1,"18070987,",PAG1,CBP|PAG,MIM:605767|HGNC:HGNC:30043|Ensembl:ENSG00000076641|Vega:OTTHUMG00000164592,8,8q21.13,phosphoprotein membrane anchor with glycosphingolipid microdomains 1,protein-coding,phosphoprotein associated with glycosphingolipid-enriched microdomains 1|Csk-binding protein|phosphoprotein associated with glycosphingolipid microdomains 1|transmembrane adapter protein PAG|transmembrane adaptor protein PAG|transmembrane phosphoprotein Cbp
8277,1,"18550470,",TKTL1,TKR|TKT2,MIM:300044|HGNC:HGNC:11835|Ensembl:ENSG00000007350|Vega:OTTHUMG00000022707,X,Xq28,transketolase like 1,protein-coding,transketolase-like protein 1|TK 2|transketolase-2|transketolase-related protein
8870,1,"14534530,",IER3,DIF-2|DIF2|GLY96|IEX-1|IEX-1L|IEX1|PRG1,MIM:602996|HGNC:HGNC:5392|Ensembl:ENSG00000137331|Vega:OTTHUMG00000031265,6,6p21.33,immediate early response 3,protein-coding,"radiation-inducible immediate-early gene IEX-1|PACAP-responsive gene 1 protein|anti-death protein|differentiation-dependent gene 2 protein|expressed in pancreatic carcinoma|gly96, mouse, homolog of|immediate early protein GLY96|immediate early response 3 protein|immediately early gene X-1|protein DIF-2"
7409,1,"25531316,",VAV1,VAV,MIM:164875|HGNC:HGNC:12657|Ensembl:ENSG00000141968|Vega:OTTHUMG00000181965,19,19p13.3,vav guanine nucleotide exchange factor 1,protein-coding,proto-oncogene vav|vav 1 guanine nucleotide exchange factor|vav 1 oncogene
5154,4,"28358926,14997209,21931722,19707201,",PDGFA,PDGF-A|PDGF1,MIM:173430|HGNC:HGNC:8799|Ensembl:ENSG00000197461|Vega:OTTHUMG00000151412,7,7p22.3,platelet derived growth factor subunit A,protein-coding,platelet-derived growth factor subunit A|PDGF A-chain|PDGF subunit A|platelet-derived growth factor A-chain|platelet-derived growth factor alpha chain|platelet-derived growth factor alpha polypeptide
182,1,"24708907,",JAG1,AGS|AGS1|AHD|AWS|CD339|HJ1|JAGL1,MIM:601920|HGNC:HGNC:6188|Ensembl:ENSG00000101384|Vega:OTTHUMG00000031872,20,20p12.2,jagged 1,protein-coding,protein jagged-1
51400,1,"19293187,",PPME1,PME-1,MIM:611117|HGNC:HGNC:30178|Ensembl:ENSG00000214517|Vega:OTTHUMG00000168115,11,11q13.4,protein phosphatase methylesterase 1,protein-coding,protein phosphatase methylesterase 1|testicular secretory protein Li 39
5300,5,"19458071,30314361,23708493,28167297,26943576,",PIN1,DOD|UBL5,MIM:601052|HGNC:HGNC:8988|Ensembl:ENSG00000127445|Vega:OTTHUMG00000180388,19,19p13.2,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",protein-coding,peptidyl-prolyl cis-trans isomerase NIMA-interacting 1|PPIase Pin1|protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1|rotamase Pin1
604,29,"15609396,22968395,24679006,26566802,12389616,28232365,25125624,19966776,17468402,15191563,26565895,16819511,17989715,17476282,21988858,21055028,28665415,17360630,27494852,15894265,22451912,12407182,24887457,23348205,15277222,21788950,14654791,12217802,20032416,",BCL6,BCL5|BCL6A|LAZ3|ZBTB27|ZNF51,MIM:109565|HGNC:HGNC:1001|Ensembl:ENSG00000113916|Vega:OTTHUMG00000156441,3,3q27.3,B-cell CLL/lymphoma 6,protein-coding,B-cell lymphoma 6 protein|B-cell lymphoma 5 protein|B-cell lymphoma 6 protein transcript|BCL-5|BCL-6|cys-his2 zinc finger transcription factor|lymphoma-associated zinc finger gene on chromosome 3|protein LAZ-3|zinc finger and BTB domain-containing protein 27|zinc finger protein 51|zinc finger transcription factor BCL6S
10493,1,"19508442,",VAT1,VATI,MIM:604631|HGNC:HGNC:16919|Ensembl:ENSG00000108828|Vega:OTTHUMG00000180816,17,17q21.31,vesicle amine transport 1,protein-coding,synaptic vesicle membrane protein VAT-1 homolog|membrane protein of cholinergic synaptic vesicles|vesicle amine transport protein 1 homolog (T. californica)
4854,1,"19446551,",NOTCH3,CADASIL|CADASIL1|CASIL|IMF2|LMNS,MIM:600276|HGNC:HGNC:7883|Ensembl:ENSG00000074181|Vega:OTTHUMG00000183217,19,19p13.12,notch 3,protein-coding,neurogenic locus notch homolog protein 3|Notch homolog 3
2817,1,"16723715,",GPC1,glypican,MIM:600395|HGNC:HGNC:4449|Ensembl:ENSG00000063660|Vega:OTTHUMG00000133349,2,2q37.3,glypican 1,protein-coding,glypican-1|glypican proteoglycan 1
6591,4,"22493711,22288519,23029385,20565806,",SNAI2,SLUG|SLUGH|SLUGH1|SNAIL2|WS2D,MIM:602150|HGNC:HGNC:11094|Ensembl:ENSG00000019549|Vega:OTTHUMG00000149912,8,8q11.21,snail family transcriptional repressor 2,protein-coding,"zinc finger protein SNAI2|neural crest transcription factor SLUG|protein snail homolog 2|slug (chicken homolog), zinc finger protein|snail family zinc finger 2|snail homolog 2"
3486,2,"20501753,21788435,",IGFBP3,BP-53|IBP3,MIM:146732|HGNC:HGNC:5472|Ensembl:ENSG00000146674|Vega:OTTHUMG00000023769,7,7p12.3,insulin like growth factor binding protein 3,protein-coding,insulin-like growth factor-binding protein 3|IBP-3|IGF-binding protein 3|IGFBP-3|acid stable subunit of the 140 K IGF complex|binding protein 29|binding protein 53|growth hormone-dependent binding protein
3458,1,"21688289,",IFNG,IFG|IFI,MIM:147570|HGNC:HGNC:5438|Ensembl:ENSG00000111537|Vega:OTTHUMG00000169113,12,12q15,interferon gamma,protein-coding,interferon gamma|IFN-gamma|immune interferon
1182,1,"23345219,",CLCN3,CLC3|ClC-3,MIM:600580|HGNC:HGNC:2021|Ensembl:ENSG00000109572|Vega:OTTHUMG00000160973,4,4q33,chloride voltage-gated channel 3,protein-coding,"H(+)/Cl(-) exchange transporter 3|chloride channel 3|chloride channel protein 3|chloride channel, voltage-sensitive 3|chloride transporter ClC-3"
