Type,ROI,mean,std,max,min
Normalized,Occipital Fusiform Gyrus,199.4640243902439,0.0,199.4640243902439,199.4640243902439
Normalized,Frontal Opercular Cortex,246.3240469208211,0.0,246.3240469208211,246.3240469208211
Normalized,Central Opercular Cortex,219.58815028901734,0.0,219.58815028901734,219.58815028901734
Normalized,Parietal Opercular Cortex,284.8628613787991,0.0,284.8628613787991,284.8628613787991
Normalized,Planum Polare,215.1760700389105,0.0,215.1760700389105,215.1760700389105
Normalized,Heschl's Gyrus (includes H1 and H2),262.7236363636364,0.0,262.7236363636364,262.7236363636364
Normalized,Planum Temporale,211.83012259194396,0.0,211.83012259194396,211.83012259194396
Smoothed,Background,113.25676781511167,0.0,113.25676781511167,113.25676781511167
Smoothed,Frontal Pole,157.84316077241843,0.0,157.84316077241843,157.84316077241843
Smoothed,Insular Cortex,128.1261243340084,0.0,128.1261243340084,128.1261243340084
Smoothed,Superior Frontal Gyrus,128.06459642247046,0.0,128.06459642247046,128.06459642247046
Smoothed,Middle Frontal Gyrus,187.68078490281997,0.0,187.68078490281997,187.68078490281997
Smoothed,"Inferior Frontal Gyrus, pars triangularis",99.44874153962206,0.0,99.44874153962206,99.44874153962206
Smoothed,"Inferior Frontal Gyrus, pars opercularis",146.06746083625228,0.0,146.06746083625228,146.06746083625228
Smoothed,Precentral Gyrus,125.92123385241648,0.0,125.92123385241648,125.92123385241648
Smoothed,Temporal Pole,170.98752990720882,0.0,170.98752990720882,170.98752990720882
Smoothed,"Superior Temporal Gyrus, anterior division",216.86859754375644,0.0,216.86859754375644,216.86859754375644
Smoothed,"Superior Temporal Gyrus, posterior division",117.12977921654586,0.0,117.12977921654586,117.12977921654586
Smoothed,"Middle Temporal Gyrus, anterior division",168.5246839738036,0.0,168.5246839738036,168.5246839738036
Smoothed,"Middle Temporal Gyrus, posterior division",137.7682475766658,0.0,137.7682475766658,137.7682475766658
Smoothed,"Middle Temporal Gyrus, temporooccipital part",111.97823828564003,0.0,111.97823828564003,111.97823828564003
Smoothed,"Inferior Temporal Gyrus, anterior division",93.84590203706351,0.0,93.84590203706351,93.84590203706351
Smoothed,"Inferior Temporal Gyrus, posterior division",153.63560765948452,0.0,153.63560765948452,153.63560765948452
Smoothed,"Inferior Temporal Gyrus, temporooccipital part",158.78916825807806,0.0,158.78916825807806,158.78916825807806
Smoothed,Postcentral Gyrus,178.34529773191323,0.0,178.34529773191323,178.34529773191323
Smoothed,Superior Parietal Lobule,211.43325231117308,0.0,211.43325231117308,211.43325231117308
Smoothed,"Supramarginal Gyrus, anterior division",175.80294443056476,0.0,175.80294443056476,175.80294443056476
Smoothed,"Supramarginal Gyrus, posterior division",165.77443165233166,0.0,165.77443165233166,165.77443165233166
Smoothed,Angular Gyrus,213.5944066433661,0.0,213.5944066433661,213.5944066433661
Smoothed,"Lateral Occipital Cortex, superior division",191.1171067802383,0.0,191.1171067802383,191.1171067802383
Smoothed,"Lateral Occipital Cortex, inferior division",95.33337374362699,0.0,95.33337374362699,95.33337374362699
Smoothed,Intracalcarine Cortex,125.70126848715239,0.0,125.70126848715239,125.70126848715239
Smoothed,Frontal Medial Cortex,113.94985197726587,0.0,113.94985197726587,113.94985197726587
Smoothed,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),132.5260313056007,0.0,132.5260313056007,132.5260313056007
Smoothed,Subcallosal Cortex,135.7214442925645,0.0,135.7214442925645,135.7214442925645
Smoothed,Paracingulate Gyrus,169.37206615644052,0.0,169.37206615644052,169.37206615644052
Smoothed,"Cingulate Gyrus, anterior division",151.33356117017328,0.0,151.33356117017328,151.33356117017328
Smoothed,"Cingulate Gyrus, posterior division",129.09067041298937,0.0,129.09067041298937,129.09067041298937
Smoothed,Precuneous Cortex,125.29374305865448,0.0,125.29374305865448,125.29374305865448
Smoothed,Cuneal Cortex,124.47992800944702,0.0,124.47992800944702,124.47992800944702
Smoothed,Frontal Orbital Cortex,155.91891284908394,0.0,155.91891284908394,155.91891284908394
Smoothed,"Parahippocampal Gyrus, anterior division",171.63408449586137,0.0,171.63408449586137,171.63408449586137
Smoothed,"Parahippocampal Gyrus, posterior division",149.42029396751883,0.0,149.42029396751883,149.42029396751883
Smoothed,Lingual Gyrus,81.35869183604936,0.0,81.35869183604936,81.35869183604936
Smoothed,"Temporal Fusiform Cortex, anterior division",175.28988120595912,0.0,175.28988120595912,175.28988120595912
Smoothed,"Temporal Fusiform Cortex, posterior division",131.01074463595424,0.0,131.01074463595424,131.01074463595424
Smoothed,Temporal Occipital Fusiform Cortex,145.90799035678572,0.0,145.90799035678572,145.90799035678572
Smoothed,Occipital Fusiform Gyrus,136.89376057695733,0.0,136.89376057695733,136.89376057695733
